TP X VALUE, TP Y VALUE, FN X VALUE, FN Y VALUE

0.474791,3.39138,2.63353,2.33039
0.711402,4.55321,0.672439,3.5787
0.763907,4.11922,1.9716,2.45306
0.265598,3.76662,1.53241,0.986806
1.25975,6.49159,-0.573742,1.05326
2.52044,4.47855,2.31771,3.20844
0.318165,4.14362,-0.294159,1.68118
1.59181,2.09015,1.16709,2.53756
1.61771,2.8597,-0.197537,2.16205
0.77559,3.65938,0.697757,1.96318
1.43893,2.49696,1.68691,2.62065
-0.0467228,3.2336,1.76395,1.7033
1.15785,3.04588,2.399,1.69337
1.7773,4.50683,0.822565,3.19992
0.925843,3.78369,2.05405,1.03108
0.940221,3.52121,1.24164,1.94113
2.4275,4.68225,1.68695,1.69785
1.99792,3.57236,1.53464,1.52235
0.670496,4.27993,0.634566,1.38616
2.23736,4.47844,2.21469,2.24152
0.986323,4.04608,0.218928,3.12407
2.0798,3.26953,1.2075,0.90727
2.24019,3.51236,1.43416,1.70243
2.34064,4.0139,-0.0264949,1.69371
2.54014,4.52342,-0.646751,0.646549
1.79109,3.80132,0.369464,1.7077
0.105892,6.10096,2.329,2.30508
0.828765,1.97761,-0.290761,1.32063
0.485257,3.54032,0.295262,2.8736
0.669065,4.45285,1.04401,2.13639
0.28709,3.66148,1.27503,1.872
1.0023,3.39589,-1.01946,1.73296
1.14203,4.38768,1.41087,2.60898
1.57271,4.30692,2.80023,2.55568
0.837737,3.04413,1.42408,-0.242559
0.341381,4.51538,1.20741,1.97559
1.59566,3.37754,1.04697,0.621577
1.34245,3.68696,1.70805,0.245695
1.033,3.88273,1.09926,2.79265
2.09955,3.21734,1.47865,2.41024
0.70769,2.91255,0.44696,1.34697
0.64389,5.02957,0.170676,1.82349
1.40018,4.55405,1.62286,0.258349
1.21618,3.44313,2.81617,2.92199
0.996873,4.24543,-0.235363,3.45092
0.121305,3.68554,1.40356,3.81556
0.265292,2.68034,1.38072,2.01299
2.23229,4.24736,0.85203,2.30583
1.81015,2.00965,1.99425,3.07627
0.22586,4.8892,1.69714,2.29476
0.410198,5.58318,1.66385,2.56085
2.0243,3.16297,2.1843,2.22083
2.44244,5.50854,-0.074091,3.61734
1.3552,5.04801,1.72239,1.75387
1.76399,4.67534,0.773997,1.18198
0.462678,4.45088,2.06592,2.22175
0.0909838,5.09447,-0.87066,2.82902
2.85161,2.35288,1.33641,3.66199
-2.26894,3.54705,0.624515,2.21015
2.11819,4.38235,1.14196,3.50774
0.866403,4.12846,1.21382,0.986853
1.11805,2.68632,1.2399,2.82018
0.030263,3.2553,1.68438,2.44309
1.8114,3.22249,0.877365,1.52814
0.853252,5.46026,-0.0857868,2.17397
1.18865,4.33055,2.20099,0.651609
2.56564,4.24941,1.85338,1.9051
2.12974,3.97899,1.50805,3.29985
0.463528,1.95489,1.37588,2.1707
1.44308,3.56197,0.372982,2.37422
0.411065,4.12889,1.94209,2.60835
0.48893,4.27315,1.27446,1.50397
1.45032,4.84436,3.349,1.58493
-0.1024,2.71631,0.635268,2.3894
-0.188348,4.5497,-0.104506,1.60333
